"NGA","PolID","Date","PropCoded","PolPop","PolTerr","CapPop","AdmLev","MilLev","ReligLev","SettlHier","ProfOfficer","ProfSoldier","ProfPriest","FullTBur","ExamSyst","MeritProm","GovtBldg","Court","LegCode","Judge","Lawyer","Irrigation","WaterSuppl","Market","FoodStor","Road","Bridge","Canal","Port","Mine","Courier","PostStation","PostService","Mnemonic","NonWRecord","WRecord","Script","NonPhWrit","PhAlph","Lists","Calendar","SacrTxt","ReligLit","PractLit","History","Philosophy","SciLit","Fiction","Article","Token","PrecMetal","ForCoin","IndigCoin","PaperCurr","SpecFreqLR","PartFreqLR","AudFreqLR","OrthopraxyLR","OrthodoxyLR","SpecFreqWR","PartFreqWR","AudFreqWR","OrthopraxyWR","OrthodoxyWR","SpecFreqFR","PartFreqFR","AudFreqFR","OrthopraxyFR","OrthodoxyFR","SpecFreqER","PartFreqER","AudFreqER","OrthopraxyER","OrthodoxyER","SpecFreqDR","PartFreqDR","AudFreqDR","OrthopraxyDR","OrthodoxyDR","Monotheism","Omnipresence","Omniscience","Omnipotence","HighGods","SEHarm","SEFair","SERecip","SEProperty","SEKinship","SEIngroup","SERespect","SEBravery","SEPurity","SEGeneral","SEAmoral","SEAmoral","HeredStatus"
"Big Island Hawaii","Hawaii1","1000","76.5",NA,NA,NA,NA,NA,NA,NA,"0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",NA,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",NA,NA,"0.1","0.1",NA,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",NA,"0.9","0.1","0.1","0.1","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Big Island Hawaii","Hawaii1","1100","76.5",NA,NA,NA,NA,NA,NA,NA,"0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",NA,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",NA,NA,"0.1","0.1",NA,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",NA,"0.9","0.1","0.1","0.1","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Big Island Hawaii","Hawaii2","1200","86.3","6082.88671750652","1638.69695646154",NA,NA,NA,NA,NA,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1",NA,"0.1","0.1","0.1",NA,"0.9","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.9","0.1","0.1","0.1","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Big Island Hawaii","Hawaii2","1300","86.3","10537.0922216665","1638.69695646154",NA,NA,NA,NA,NA,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1",NA,"0.1","0.1","0.1",NA,"0.9","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.9","0.1","0.1","0.1","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Big Island Hawaii","Hawaii2","1400","86.3","14998.272585356","1638.69695646154",NA,NA,NA,NA,NA,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0","0.1","0.1","1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",NA,"0.1","0.1","0.1",NA,"0.9","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.9","0.1","0.1","0.1","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Big Island Hawaii","Hawaii2","1500","86.3","43959.0043918291","1638.69695646154",NA,NA,NA,NA,NA,"0.1","0.1","1","0.1","0.1","0.1","0.1","0.1","0","0.1","0.1","1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",NA,"0.1","0.1","0.1",NA,"0.9","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.9","0.1","0.1","0.1","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Big Island Hawaii","Hawaii2","1600","80.4",NA,"1638.69695646154",NA,NA,NA,NA,NA,"0.1","0.1",NA,"0.1","0.1","0.1","0.1","0.1","0","0.1","0.1",NA,"0.1","0.1","0.1","0.1","0.1","0.1","0.1",NA,"0.1","0.1","0.1",NA,"0.9","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.9","0.1","0.1","0.1","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Big Island Hawaii","Hawaii3","1700","94.1","137308.333933596","7298.75733650031",NA,"4","3.8799337060149","2","2","0","1","1","0","0.1","0.1","0.1","0.1","0","0","0.1","1","0.1","0.1","1","1","0.1","0.1","0.1",NA,"0","0.1","0.1",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.9","0.1","0.1","0.1","0.1","2","2",NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Big Island Hawaii","USKameh","1800","92.2","138821.479082012","15780.6866569352",NA,"5","3.41203965322881","2","2","0","1","1",NA,"0.1","1","0.1","0.1","0","0.1","0.1","1","0.1","0.1","1","0.1","0.1","0.1","0.1",NA,"0.1","0.1","0.1",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.9","0.1","0","0","0","2","2",NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"0.9",NA,NA,"0.9",NA,NA,NA,NA,NA,NA,NA
"Cahokia","USMisEW","-600","88.2","37.4583993203653",NA,"46.4004214259758","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","1",NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
