"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
0.710390577003617,0.725458532422354,0.751024276120964,0.76777811021674,0.675227120642392,0.715607630537926,0.682016083155147,0.738202308976354,0.70130262373252,0.748417104966044,0.78093527133709,0.737714632805663,0.710473706309358,0.658964850470267,0.783767923549147,0.701921204127027,0.68544819060057,0.743424988638491,0.729581468973804,0.729274488463506
0.767546296045512,0.78230797806941,0.808038290882768,0.824960623878859,0.731693663672691,0.772767652802257,0.739180437751692,0.795007715454156,0.757819698086318,0.805515547142183,0.83775040580044,0.794295707583574,0.76669757633537,0.715741994262684,0.84111458004095,0.758107488037772,0.74253112683656,0.800073064622503,0.786038759254377,0.786297519222185
1.1824310101278,1.33494926042205,1.5157382816151,1.28379349485272,1.48564686269153,1.28353944055735,1.31934297189812,1.43998614033239,1.31688385279849,1.4199985675682,1.40922032356967,1.41159446312613,1.25885835532273,1.2643479597257,1.34681999447263,1.38452421067437,1.39911423224821,1.26946594155468,1.36039122463831,1.10319680334569
1.3909898036718,1.35987612815053,1.18662545313068,1.36897067352261,1.48973675314271,1.36430880586881,1.31142862241891,1.35480361678547,1.26974349653602,1.32386070239352,1.26127790226524,1.44419072497938,1.43283560912353,1.50580230860261,1.51901839750419,1.39946096755572,1.07424534401166,1.30602066455631,1.39707839469623,1.36457355794542
2.02454648325883,2.02633057127689,2.03075238456436,2.05131550678845,2.02214903143758,2.02684466997367,2.03065106878253,2.0061648704935,2.03378014711921,2.01830565141902,2.02303885118593,1.98411979138156,2.01378308181413,1.96500271092814,2.06379223721093,2.06021507695121,2.01107680366126,1.97888061441491,2.04940880746917,1.97644079715546
1.72376799425086,1.9222838074305,1.96316363732738,2.17053384933855,1.79436216113502,2.04062489028631,1.69453131085236,1.81674784599194,2.03461643622187,1.79351916585809,2.08781673473212,1.74966259947085,1.75989734105102,1.57813619752817,1.75494877934991,1.80348369013308,1.6456787604901,1.87108798403787,1.92598450791237,1.83577008163736
-4.59596316119616,-4.33249205223002,-4.45445865657923,-4.64667947810669,-4.93618157493466,-4.57515393047789,-4.37294471622537,-5.14263247304536,-4.70254068271875,-4.6435660882779,-4.54720449192616,-4.4177743094084,-4.93451503504717,-4.78517920602933,-4.8208875219139,-5.27517198398878,-4.47211421313565,-4.60020875112263,-4.69183116172117,-4.54313841362415
-1.3332655625568,-1.36779042235741,-1.37414557233909,-1.65345312928344,-1.17395561399772,-1.10265903690886,-1.16469582523385,-1.35253291872714,-1.32772436324827,-1.39235527660772,-1.36880777126171,-1.58859047971026,-1.4815926886732,-1.47787601075875,-1.18607354126229,-1.10859871319303,-0.968589523594917,-1.13763063713122,-1.30716583795716,-1.25086023698373
-3.55907314761694,-3.77312617735101,-3.53510588387653,-3.81059349082307,-3.7592901578087,-3.74531755012912,-3.79944463299771,-3.46337338794488,-3.79122148842532,-4.13137927142421,-3.45162025365314,-3.19248773130253,-4.3829157776462,-3.56839139972589,-3.19887142772663,-3.16686725444048,-3.83027204996736,-3.55458291640451,-4.17858598452876,-3.28104639397347
-3.9123310047541,-3.4976982221593,-3.83362794007749,-3.84484689718153,-3.9352976499178,-4.00419170765591,-4.20212723510441,-4.06739384728478,-3.97994378435935,-3.93159223516366,-3.64333643169527,-3.97189371368009,-3.7485824747964,-3.89385816075044,-4.28591782925189,-3.74061079681909,-3.71252862079168,-3.78829393588991,-4.05763200629924,-3.82715158816247
-3.66162600365255,-3.87208797542664,-3.58951864989076,-4.06543969979016,-3.90611043529925,-3.90638156797351,-3.73442249631844,-3.95389886796735,-4.03754289700364,-3.70903246131591,-3.37431612199904,-3.91783847890398,-3.65996779184017,-4.07284463433243,-3.90265986288962,-4.01002120053156,-3.75019037390654,-3.75271048305759,-3.97131436280125,-3.8662915049037
-3.90344477240555,-3.88260706012455,-3.50856401966837,-3.66804622133609,-3.76708920476192,-3.99640768705366,-3.56128605913605,-3.82536572179009,-3.80694639933163,-3.63323844612696,-3.69044916669658,-3.69679047603034,-3.71106639206103,-3.62501457164227,-3.95817630750385,-3.78746617871092,-3.64146801128316,-3.81092491847795,-3.78029401349131,-3.65592878840703
-4.33919166441227,-3.68752381985396,-3.84999488753259,-3.77254700397324,-4.12514735984105,-4.03688044633597,-3.69360209460282,-3.61519327112256,-3.95129460543034,-3.70451495767457,-4.08609339600301,-3.85876585059906,-4.46988150114606,-3.80965539912637,-3.90557171073378,-3.63096385770271,-3.92687454922586,-4.06497495370958,-3.77632627334236,-3.86791556537945
-1.04363881613066,-1.19507872671611,-0.952171480576636,-1.10708499042534,-1.32492258983847,-0.982674784637358,-1.1554099949256,-1.19458130756192,-1.11437065895253,-1.21482253707612,-1.25270016138644,-0.874970147963792,-1.09919305283223,-0.960470261980077,-1.20876379079244,-0.959812119056906,-1.03219668970067,-1.2212454824375,-0.913859763657932,-0.786305679522486
-3.28648833375717,-3.37995665989944,-2.92203601994449,-3.45141281452603,-3.10253965045728,-3.09364646468853,-2.71528008295103,-2.981796293242,-2.9985081773123,-2.93004440485479,-3.20283886076977,-3.0089247201887,-2.89776844153739,-3.52172481366133,-2.86150123227887,-3.15515466285498,-3.27677256149017,-3.13593897179896,-2.88024248650707,-2.90802779406173
-2.23779955354485,-2.22006023368137,-2.28962438441402,-2.50665339522966,-2.28848292525929,-2.48288366911469,-2.17865743755853,-2.22103882376386,-2.56672980999283,-2.22349543787253,-2.03011748268308,-2.39771210861041,-2.24964976520873,-2.24314051731867,-1.90578631069339,-2.57267295533488,-2.00220912426825,-2.53702355743271,-2.28007384621407,-2.61968596646094
-0.0698014402004302,0.0290563617284652,-0.207843599508874,-0.0588506662653557,-0.0830622864791482,-0.142719466770446,-0.149210954883578,-0.0902422846317308,-0.212128654025934,-0.13320316224119,-0.156143513198407,-0.287993473677334,-0.125111876800148,-0.185277564154574,-0.173571687687828,-0.298552596937707,0.0340013587447878,-0.386771852129471,-0.203861711317309,-0.130444070246835
-0.0206717929867544,-0.0890245909383924,-0.0980000285798078,-0.0157906673146758,0.0110132683728136,-0.0941561627461842,-0.112298295557343,-0.0879957193621919,-0.0672553897066686,-0.0478917650187428,-0.117249687320718,-0.035851972416599,-0.0754698887510422,-0.142843336797221,-0.076168832559429,-0.0303229301458303,-0.0648792661736006,-0.243520923602801,-0.0755913671800657,-0.0582875165534717
-4.50242582464611,-4.23300061123975,-4.47773515972993,-4.23259706609702,-3.75494218468661,-4.37960967876396,-4.40025652138977,-4.10450014192235,-4.01663447169033,-4.13420869192065,-4.10370949974396,-3.86483285064888,-3.79297956244847,-4.21510166790362,-4.25983992104082,-4.204091801937,-4.42966313739553,-4.42384701949684,-4.15137094464991,-4.1124662653588
-4.09202909742001,-4.19237213757938,-4.21077253896133,-4.12653052222197,-4.16123550334584,-4.15671757179883,-4.29108288386374,-4.06462645226582,-4.18696404316448,-4.04578410602661,-4.41536314018669,-4.20919941470259,-4.23685570998241,-4.11170511527076,-3.9941285525054,-4.12410331369422,-4.09954546340198,-4.19603883886663,-4.14630495508931,-4.10590722119086
-3.58705794901861,-3.56192514538084,-3.45636058011501,-3.6078618324579,-3.23082190245629,-3.60635579434603,-3.57997744288632,-3.45821514851315,-3.20760294576657,-3.3516637884587,-3.26814108118023,-3.37468762908146,-3.50801272224272,-3.55357592664928,-3.23706806191502,-3.18868446791124,-3.42739445956545,-3.53457815497618,-3.41947141097612,-3.53353186884512
-2.77706265180778,-3.20495462257394,-3.11320994388613,-2.87726590302786,-2.71010405565757,-2.88593581405078,-2.97771808277048,-3.04500728894937,-3.02933241890988,-3.18078107292335,-2.94218900139973,-3.00132040038632,-2.99509332576979,-2.91078285839415,-2.86682154992723,-3.05848445758924,-3.17410337542806,-3.19630165795962,-3.18336436264787,-3.06630869921755
1.59320667118455,1.57368521177564,1.5310806876937,1.55264674980869,1.57589291456864,1.56132615748746,1.56656154663723,1.54639526596756,1.60706389076765,1.60804477613843,1.5677237907615,1.56956739171398,1.5516499633725,1.60226323280565,1.59301800005609,1.61567424948292,1.58397837103532,1.57094750876285,1.56487622126081,1.58461981172014
1.58320940151155,1.57719006136023,1.5415262793616,1.56097686357343,1.58872203460276,1.57079164813317,1.57520282324352,1.54505761892026,1.6089031471734,1.60573263488736,1.56652598829019,1.56713115198785,1.56269231090829,1.61056445937367,1.59377701815243,1.62217572719753,1.58404048777104,1.57951514171562,1.56936553690658,1.58858859889305
1.60156479706759,1.58013386259482,1.55167542624187,1.57057003857105,1.58537969810465,1.56751780645488,1.58678708227792,1.55706738501042,1.62294555102433,1.6143278592416,1.57874333009507,1.57641317545121,1.56907813248796,1.61679039085051,1.60558170725757,1.62816846123933,1.60122731913393,1.5899531700638,1.57316595161976,1.59324945922115
1.61934613918021,1.60430685770251,1.56910790048606,1.58545015386624,1.61465609338668,1.58602961698512,1.61311306515443,1.58144050375061,1.64026779857511,1.63041803182467,1.59308517767165,1.59492699488318,1.57791738128762,1.63948134799812,1.6283074057615,1.64709974802523,1.61701044158846,1.60408666710308,1.59674595864942,1.60392236048244
1.85250303107312,1.85708072456806,1.95623367739063,1.8022309973442,1.86903957840746,1.92280610570884,1.6205088328555,1.80501725555493,1.79786629442088,1.87533268664954,1.95593738512404,1.86078605100989,2.25854003595712,1.69010082164315,1.83584195316308,1.84060979661481,1.71291670729148,1.87481013115993,1.76366157887476,2.10381119509818
1.1726500221869,1.37038989034633,1.15462609170984,1.06865801073947,1.06991138262892,1.20189987636005,1.32135789582078,1.36402092089945,1.39773013287376,1.07741404077465,0.769225121154411,0.774849353955388,1.27867816745649,1.32102113814142,0.68450272193648,1.05157366113621,0.773510870937684,1.07069930752142,1.18019246933717,1.25422163622236
2.1785561039888,2.17126648530438,2.10521408240749,2.15749398725198,2.15463754915156,2.1564501629802,2.20144014004664,2.1531404838753,2.15099429948026,2.10963321105345,2.11845004527013,2.16334273713408,2.1183431382125,2.12676775387309,1.60854221763403,2.18264682901604,2.1763936364143,2.10793927323738,2.07346781911589,2.1961680223346
2.19839162255301,2.20934214044432,2.21024684168196,2.21213678208441,2.18890067649476,2.23216973199612,2.22550994178104,2.19554622790294,2.25207082107414,2.18780122142038,2.22003838793013,2.27177100228197,2.20808107737036,2.20869981777351,2.23371512656835,2.25722281745708,2.20899759881625,2.19183432402509,2.16467396699904,2.20353944953395
2.19133138770672,2.1233981093178,1.84317337175561,2.10361294584409,2.10912002369668,2.10167377691082,2.1173727566105,1.81562192857214,1.8800850431156,2.08518224963495,1.87683025237807,2.12450460186913,2.08309389697671,1.841947360205,2.07923573123152,2.14339748549332,1.88525746912258,2.12087321475778,2.12372030824861,1.889789553733
2.20849282535505,2.1230635067611,1.85544027945418,2.10507751396784,2.12152040295824,2.10792281759087,2.12528719711024,1.82864425899334,1.88995092290968,2.08507986111075,1.89195184076844,2.12894154905145,2.09521975254686,1.84747441031751,2.09530920870956,2.15644124870232,1.89504042690507,2.12441265372269,2.11987834114688,1.88091407402354
2.30086805362146,2.39147647897854,2.26205967908259,2.19135061682554,2.56678479726078,2.37054336090969,2.6012456719323,2.32684893217055,2.4462605572774,2.62004312658217,2.49927175987205,2.37616192654434,2.7248968266424,2.4003858874001,2.44603305913374,2.3471609697468,2.32561573590806,2.42553656139165,2.31212163117587,2.03705501466545
1.67215837354025,1.70358007846748,1.88499454385364,1.66209414379837,1.71681644676309,1.90192535823038,1.91377703046268,1.82953487571514,1.91124301316151,1.69371543330725,1.92111645180712,1.82701376083144,1.79085977342141,1.62052607769848,1.71164413856158,1.73868678870222,1.83976895972669,1.51868298748635,2.08220613988001,1.90509678024988
0.97799647327155,0.933974682726878,1.12454734076976,0.563902632830587,0.862710344541129,0.420454590255743,0.152635352588121,0.726489727423254,0.788999393460108,0.964441217377024,0.923904769680604,1.16773611609367,0.688982261309902,0.700707101962037,1.00685561194312,1.02395994911773,1.12979692570301,0.550609417330732,0.755171309396146,1.45956349067804
2.20088759764867,2.18281261281116,2.18390497612167,2.23683740762013,2.20517149998874,2.14322411308575,2.19918865196554,2.18327032084916,2.19654809259847,2.21451714419382,2.22823895809151,2.16501217282025,2.20979570645713,2.22491631757359,2.19879217684404,2.23400633480307,2.19729194270549,2.17301059986136,2.18350365249957,2.19867176471942
2.28920598043688,2.26720191395978,2.30594733626342,2.32785501598018,2.29496997161399,2.21149070246417,2.22396506248559,2.25311009392384,2.29456638792401,2.30566635317557,2.31851110935034,2.24577656774451,2.30666723076552,2.28725931764915,2.29673372096552,2.33695577084386,2.30922903977566,2.24440908295668,2.23268512006456,2.27337834808716
2.16149177874119,2.091529281481,2.3046610889188,2.4270326259776,2.40875705042526,2.52027044137579,2.34293483324563,2.34451145217655,2.46951739287059,2.35850868330751,2.38518405811774,2.23548151489468,2.42844766733946,2.27016269469094,2.35217157746761,2.26530299604204,2.17657611817616,2.29148253860813,2.25727714953466,2.38535769380026
-3.12298616525457,-3.13929891021839,-3.03867673068096,-3.13506164570682,-3.03869397841574,-3.32838546001923,-3.03637137222844,-3.22258173858693,-3.22751614568775,-3.00407404645089,-3.1265694195517,-3.32944237020902,-3.25562320785154,-3.02483387864252,-3.04371685813028,-3.32456912735637,-3.34544871032371,-3.33463173568972,-3.33921698786223,-3.10944767984072
-2.93164809788757,-2.88666214897802,-2.87448816854562,-2.74848435844402,-2.77210579442511,-3.13246328624769,-2.70769501229551,-2.95066070696274,-3.10321164423919,-2.73275861377706,-2.95405788475531,-3.20424449608386,-3.06994491429206,-2.80797305029386,-2.75994836718496,-3.0923318153276,-3.00754837709211,-3.06191306563274,-3.33921698786223,-2.71066960405103
-4.06108383067698,-3.77753490951348,-4.12590639930764,-3.87029299396322,-3.98603350756103,-3.84886026116769,-3.97678089625828,-3.99394181675072,-3.88296327912561,-3.85655861846739,-3.97406017462645,-4.02860778129754,-4.25108407784542,-4.1218835334235,-4.09788925632133,-3.87153823739365,-4.28503836708753,-3.83933079861556,-3.95762262995672,-3.9356384491745
-2.27164505378076,-2.32234688258082,-2.03572287188862,-2.9618494955222,-2.2769916328472,-1.94932770457591,-2.11112765575419,-2.33241439846273,-2.04916569064105,-2.02877021436483,-1.68430979759392,-2.4915068133972,-1.89659792433219,-2.14543345056103,-1.85241787432697,-2.35324004497033,-2.39926345018529,-2.23603373696871,-1.93740828950628,-1.94158295860824
0.0577133456483643,0.404680625502207,0.386626060931061,0.108262570466299,0.2739670820518,-0.189449292391751,-0.0186593748710328,-0.123411188608661,0.292307828830406,0.0204871862160922,-0.0945012830584248,-0.17498487177914,0.128375251536683,0.196114982643747,0.302105644883117,-0.12734319756697,0.322685833266447,-0.0479935233074482,0.600707546730125,-0.0674633729738101
-2.72221164860381,-2.78775123015672,-2.66080749414654,-2.60668975038208,-2.60229498687683,-2.72547858592527,-2.85240696831405,-2.50592453669305,-2.51652793656952,-2.78742791028441,-3.1121861560098,-2.65536967968341,-2.82493836560551,-2.81542932742373,-2.81896539198012,-2.66729605939765,-2.84071119677291,-2.76808364781882,-2.71738947806671,-2.60380314034176
-2.02711420242356,-2.02351024992308,-1.98819725572349,-2.00870996587911,-2.03277040173257,-1.98899792715656,-2.00380226569199,-1.96930882970235,-1.9915216422994,-1.98553504606969,-2.04087860723094,-2.00966272471477,-2.01111664142454,-2.00275523473061,-2.02611800284798,-1.98716176106452,-2.0244838443881,-1.99965453902714,-2.02318068318674,-2.021290490027
-1.38945607229158,-1.30921572800795,-1.30895709175884,-1.26911298079028,-1.18962386714037,-1.29931084246141,-1.31615184465009,-1.19459179683023,-1.39969870693919,-1.1399466958898,-1.52036377887116,-1.21979074068466,-1.31126539104216,-1.32695648386207,-1.28172000454988,-1.32225003515784,-1.3376887123077,-1.26421770197747,-1.3393119425496,-1.30307916115613
